tx,timestamp,block,output_amount0,output_amount1,output_liquidity,params
0x4a8c8596ff0e6792b6137f663c3ad2efd39e130f0666fbf88457c2df137073eb,2023-04-05 00:49:52.000 UTC,2.7070192e+07,20301820757449596796,74902954072658160,2473041436299379426981,"{""tokenId"":2507,""amount0Desired"":20301820757449596796,""amount1Desired"":74914887904536420,""amount0Min"":0,""amount1Min"":0,""deadline"":1680656977}"
0x27332b73c147b4937b9f3f0fa241d373d3a0fe38c3e2149a21d5b0092dcac065,2023-04-05 00:51:16.000 UTC,2.707022e+07,32000000000000000000,36133186408056832878831,747034087466457789117351,"{""tokenId"":7288,""amount0Desired"":32000000000000000000,""amount1Desired"":36237058760115086709962,""amount0Min"":0,""amount1Min"":3146423313621538413820,""deadline"":1680657061}"
0x314ee1273b8fc5c9a89bf4cfd968d6aa72290285337431b8fbc04c13f8ac0442,2023-04-05 00:53:49.000 UTC,2.7070271e+07,2583723647893375029083,36383948113686143095,35344175828331663756807,"{""tokenId"":7569,""amount0Desired"":2583723647893375029083,""amount1Desired"":36383948113686143095,""amount0Min"":2502166650149000739825,""amount1Min"":35426873098328412223,""deadline"":1680657205}"
0x3b4d1a64e2cf6e0ca796d8724936c892ab262da15327a70d73835a98d8680035,2023-04-05 00:53:28.000 UTC,2.7070264e+07,9817807184559275478,19163653970573071763811,360058287040033244351792,"{""tokenId"":7288,""amount0Desired"":13932929644313331943,""amount1Desired"":19163653970573071763811,""amount0Min"":0,""amount1Min"":2329633829575259614103,""deadline"":1680657190}"
0xf2420b3b55187d2f558daa1ee30a986c0482eef43c6a09f3a95eeaf372ddbd89,2023-04-05 00:54:46.000 UTC,2.707029e+07,4534953349663785988,8945026625669437245633,167823478907609182306293,"{""tokenId"":7288,""amount0Desired"":4958766938430923149,""amount1Desired"":8945026625669437245633,""amount0Min"":0,""amount1Min"":1431377387292646709697,""deadline"":1680657271}"
0x27a02944f05e3acda9e47234c71115546deb7c085d0bc079df6df24e0ee90ba4,2023-04-05 00:54:58.000 UTC,2.7070294e+07,218401800767902053570,3075496883724133456,2987620677814328631168,"{""tokenId"":7569,""amount0Desired"":218401800767902053570,""amount1Desired"":3075496883724133456,""amount0Min"":211507839357580732187,""amount1Min"":2994595945852589828,""deadline"":1680657280}"
0x424ba857775e818a44ef7007451fe17d1b89093d84b509d566a775a2f39dff0d,2023-04-05 00:56:43.000 UTC,2.7070329e+07,113766988923575121,1176211747829498197603,19628512786302492011130,"{""tokenId"":7288,""amount0Desired"":142582742529981328,""amount1Desired"":1176211747829498197603,""amount0Min"":0,""amount1Min"":301712805504917052755,""deadline"":1680657391}"
0x3cf65456fcbc4e8940fc884b7d969caa2e2af4435cc2252629a59bfea3df4018,2023-04-05 01:05:25.000 UTC,2.7070503e+07,50334718513691995,105501039997098580166,289525681093936523830,"{""tokenId"":7590,""amount0Desired"":50334718513691995,""amount1Desired"":105501039997098580166,""amount0Min"":47027296089696929,""amount1Min"":99168067985217583766,""deadline"":1680656830}"
0x80466355e851644b321fdcd2a6876bd0d32220cec8e62980011d38a9edc20ae0,2023-04-05 01:08:46.000 UTC,2.707057e+07,311489459001348699778,1492900787624332682,11017415267857505559182,"{""tokenId"":7587,""amount0Desired"":311489459001348699778,""amount1Desired"":1616583091100420422,""amount0Min"":0,""amount1Min"":0,""deadline"":1680658114}"
0x6c6bd78a4b98b35914f2f184ba446b546065363f39447208e7e3ea69b49019d5,2023-04-05 01:12:25.000 UTC,2.7070643e+07,4749057986821521090910,6699145354098298720721,57244708913660969007910930,"{""tokenId"":7615,""amount0Desired"":4749057986821521090910,""amount1Desired"":6699145354098298720721,""amount0Min"":0,""amount1Min"":0,""deadline"":1680658333}"
